////////////////////////////////////////////////////////////// PID-setup Teil kp Versuch 1: kp = 0.1;
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
Linie verlassen bei: 29026 32748 9391 24989                <-- sensoren vermutlich noch nicht ganz einsatzbereit
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 15038 10641 25261 22006            
error: 0.15084 | diff: 3771 | msg.angular.z: 0.015084
error: 0.15084 | diff: 3771 | msg.angular.z: 0.015084
error: 0.09412 | diff: 2353 | msg.angular.z: 0.009412
error: 0.09412 | diff: 2353 | msg.angular.z: 0.009412
error: 0.09412 | diff: 2353 | msg.angular.z: 0.009412
error: 0.09412 | diff: 2353 | msg.angular.z: 0.009412
error: 0.09412 | diff: 2353 | msg.angular.z: 0.009412
error: 0.02172 | diff: 543 | msg.angular.z: 0.002172
error: 0.02172 | diff: 543 | msg.angular.z: 0.002172
error: 0.02172 | diff: 543 | msg.angular.z: 0.002172
error: 0.02172 | diff: 543 | msg.angular.z: 0.002172
error: 0.02172 | diff: 543 | msg.angular.z: 0.002172
error: -0.03768 | diff: -942 | msg.angular.z: -0.003768
error: -0.03768 | diff: -942 | msg.angular.z: -0.003768
error: -0.03768 | diff: -942 | msg.angular.z: -0.003768
error: -0.03768 | diff: -942 | msg.angular.z: -0.003768
error: -0.03768 | diff: -942 | msg.angular.z: -0.003768
error: -0.09612 | diff: -2403 | msg.angular.z: -0.009612
error: -0.09612 | diff: -2403 | msg.angular.z: -0.009612
error: -0.09612 | diff: -2403 | msg.angular.z: -0.009612
error: -0.09612 | diff: -2403 | msg.angular.z: -0.009612
error: -0.09612 | diff: -2403 | msg.angular.z: -0.009612
error: -0.15492 | diff: -3873 | msg.angular.z: -0.015492
error: -0.15492 | diff: -3873 | msg.angular.z: -0.015492
error: -0.15492 | diff: -3873 | msg.angular.z: -0.015492
error: -0.15492 | diff: -3873 | msg.angular.z: -0.015492
error: -0.15492 | diff: -3873 | msg.angular.z: -0.015492
error: -0.23688 | diff: -5922 | msg.angular.z: -0.023688
error: -0.23688 | diff: -5922 | msg.angular.z: -0.023688
error: -0.23688 | diff: -5922 | msg.angular.z: -0.023688
error: -0.23688 | diff: -5922 | msg.angular.z: -0.023688
error: -0.23688 | diff: -5922 | msg.angular.z: -0.023688
error: -0.30496 | diff: -7624 | msg.angular.z: -0.030496
error: -0.30496 | diff: -7624 | msg.angular.z: -0.030496
error: -0.30496 | diff: -7624 | msg.angular.z: -0.030496
error: -0.30496 | diff: -7624 | msg.angular.z: -0.030496
error: -0.30496 | diff: -7624 | msg.angular.z: -0.030496
error: -0.39676 | diff: -9919 | msg.angular.z: -0.039676
error: -0.39676 | diff: -9919 | msg.angular.z: -0.039676
error: -0.39676 | diff: -9919 | msg.angular.z: -0.039676
error: -0.39676 | diff: -9919 | msg.angular.z: -0.039676
error: -0.39676 | diff: -9919 | msg.angular.z: -0.039676
error: -0.5052 | diff: -12630 | msg.angular.z: -0.05052
error: -0.5052 | diff: -12630 | msg.angular.z: -0.05052
error: -0.5052 | diff: -12630 | msg.angular.z: -0.05052
error: -0.5052 | diff: -12630 | msg.angular.z: -0.05052
error: -0.5052 | diff: -12630 | msg.angular.z: -0.05052
